Infra.Class,Order,Family,Common.name,Species,Synonym.,X2n
NEOGNATHAE,ACCIPITRIFORMES,Accipitridae,"Kites, Hawks and Eagles",Circus pygargus,Phalacrocorax niger,72
NEOGNATHAE,ACCIPITRIFORMES,Accipitridae,"Kites, Hawks and Eagles",Elanus caeruleus,Phalacrocorax niger,68
NEOGNATHAE,ACCIPITRIFORMES,Accipitridae,"Kites, Hawks and Eagles",Geranoaetus albicaudatus,Buteo albicaudatus,68
NEOGNATHAE,ACCIPITRIFORMES,Accipitridae,"Kites, Hawks and Eagles",Geranoaetus melanoleucus,Buteo albicaudatus,68
NEOGNATHAE,ACCIPITRIFORMES,Accipitridae,"Kites, Hawks and Eagles",Geranospiza caerulescens,Buteo albicaudatus,66
NEOGNATHAE,ACCIPITRIFORMES,Accipitridae,"Kites, Hawks and Eagles",Gypaetus barbatus,Buteo albicaudatus,60
NEOGNATHAE,ACCIPITRIFORMES,Accipitridae,"Kites, Hawks and Eagles",Gyps bengalensis,Buteo albicaudatus,66
NEOGNATHAE,ACCIPITRIFORMES,Accipitridae,"Kites, Hawks and Eagles",Gyps coprotheres,Buteo albicaudatus,66
NEOGNATHAE,ACCIPITRIFORMES,Accipitridae,"Kites, Hawks and Eagles",Gyps fulvus,Buteo albicaudatus,66
NEOGNATHAE,ACCIPITRIFORMES,Accipitridae,"Kites, Hawks and Eagles",Gyps rueppelli,Buteo albicaudatus,66
NEOGNATHAE,ACCIPITRIFORMES,Accipitridae,"Kites, Hawks and Eagles",Gyps himalayensi,Buteo albicaudatus,66
NEOGNATHAE,ACCIPITRIFORMES,Accipitridae,"Kites, Hawks and Eagles",Haliaeetus albicilla,Buteo albicaudatus,66
NEOGNATHAE,ACCIPITRIFORMES,Accipitridae,"Kites, Hawks and Eagles",Haliaeetus leucocephalus,Buteo albicaudatus,66
NEOGNATHAE,ACCIPITRIFORMES,Accipitridae,"Kites, Hawks and Eagles",Haliaeetus leucogaster,Buteo albicaudatus,66
